seq,sample_id,audio,gt_azimuth_deg,pred_azimuth_deg,error_deg,pred_offset_deg,pred_corrected_azimuth_deg,corrected_error_deg,distance_m
data/test/clock3,0122,data/test/clock3/audio/0122.wav,149.196986,56.500000,92.696986,77.000000,133.500000,15.696986,2.396981
data/test/clock3,0123,data/test/clock3/audio/0123.wav,150.955650,56.500000,94.455650,77.000000,133.500000,17.455650,2.387740
data/test/clock3,0124,data/test/clock3/audio/0124.wav,152.879031,56.500000,96.379031,77.000000,133.500000,19.379031,2.374451
data/test/clock3,0125,data/test/clock3/audio/0125.wav,154.922105,58.000000,96.922105,77.000000,135.000000,19.922105,2.353451
data/test/clock3,0126,data/test/clock3/audio/0126.wav,156.559370,61.000000,95.559370,77.000000,138.000000,18.559370,2.338124
data/test/clock3,0127,data/test/clock3/audio/0127.wav,158.295795,59.500000,98.795795,77.000000,136.500000,21.795795,2.320920
data/test/clock3,0128,data/test/clock3/audio/0128.wav,160.076671,59.000000,101.076671,77.000000,136.000000,24.076671,2.300639
data/test/clock3,0129,data/test/clock3/audio/0129.wav,161.264892,59.500000,101.764892,77.000000,136.500000,24.764892,2.278812
data/test/clock3,0130,data/test/clock3/audio/0130.wav,162.239041,55.500000,106.739041,77.000000,132.500000,29.739041,2.252587
data/test/clock3,0131,data/test/clock3/audio/0131.wav,162.445340,54.500000,107.945340,77.000000,131.500000,30.945340,2.214048
data/test/clock3,0132,data/test/clock3/audio/0132.wav,161.414104,51.500000,109.914104,77.000000,128.500000,32.914104,2.160875
data/test/clock3,0133,data/test/clock3/audio/0133.wav,158.903490,50.500000,108.403490,77.000000,127.500000,31.403490,2.107184
data/test/clock3,0134,data/test/clock3/audio/0134.wav,155.295648,47.500000,107.795648,77.000000,124.500000,30.795648,2.045421
data/test/clock3,0135,data/test/clock3/audio/0135.wav,151.378876,45.000000,106.378876,77.000000,122.000000,29.378876,1.979206
data/test/clock3,0136,data/test/clock3/audio/0136.wav,147.622682,41.500000,106.122682,77.000000,118.500000,29.122682,1.918612
data/test/clock3,0137,data/test/clock3/audio/0137.wav,144.910427,36.500000,108.410427,77.000000,113.500000,31.410427,1.856924
data/test/clock3,0138,data/test/clock3/audio/0138.wav,143.130466,33.500000,109.630466,77.000000,110.500000,32.630466,1.798877
data/test/clock3,0139,data/test/clock3/audio/0139.wav,141.909816,30.000000,111.909816,77.000000,107.000000,34.909816,1.753018
data/test/clock3,0140,data/test/clock3/audio/0140.wav,140.260954,24.500000,115.760954,77.000000,101.500000,38.760954,1.701672
data/test/clock3,0141,data/test/clock3/audio/0141.wav,137.157288,21.500000,115.657288,77.000000,98.500000,38.657288,1.661408
data/test/clock3,0142,data/test/clock3/audio/0142.wav,133.938671,19.500000,114.438671,77.000000,96.500000,37.438671,1.621330
data/test/clock3,0143,data/test/clock3/audio/0143.wav,130.483838,18.000000,112.483838,77.000000,95.000000,35.483838,1.581786
data/test/clock3,0144,data/test/clock3/audio/0144.wav,126.770934,17.000000,109.770934,77.000000,94.000000,32.770934,1.536429
data/test/clock3,0145,data/test/clock3/audio/0145.wav,123.055775,17.000000,106.055775,77.000000,94.000000,29.055775,1.498256
data/test/clock3,0146,data/test/clock3/audio/0146.wav,119.904927,17.000000,102.904927,77.000000,94.000000,25.904927,1.468726
data/test/clock3,0147,data/test/clock3/audio/0147.wav,118.943551,15.500000,103.443551,77.000000,92.500000,26.443551,1.447608
data/test/clock3,0148,data/test/clock3/audio/0148.wav,119.497151,15.500000,103.997151,77.000000,92.500000,26.997151,1.437523
data/test/clock3,0149,data/test/clock3/audio/0149.wav,120.847097,15.500000,105.347097,77.000000,92.500000,28.347097,1.435633
data/test/clock3,0150,data/test/clock3/audio/0150.wav,122.386389,19.000000,103.386389,77.000000,96.000000,26.386389,1.424803
data/test/clock3,0151,data/test/clock3/audio/0151.wav,123.313410,19.000000,104.313410,77.000000,96.000000,27.313410,1.425078
data/test/clock3,0152,data/test/clock3/audio/0152.wav,124.081110,20.000000,104.081110,77.000000,97.000000,27.081110,1.418945
data/test/clock3,0153,data/test/clock3/audio/0153.wav,124.866827,23.000000,101.866827,77.000000,100.000000,24.866827,1.419849
data/test/clock3,0154,data/test/clock3/audio/0154.wav,125.656288,25.000000,100.656288,77.000000,102.000000,23.656288,1.417383
data/test/clock3,0155,data/test/clock3/audio/0155.wav,126.336465,26.500000,99.836465,77.000000,103.500000,22.836465,1.410729
data/test/clock3,0156,data/test/clock3/audio/0156.wav,127.564848,27.000000,100.564848,77.000000,104.000000,23.564848,1.407511
data/test/clock3,0157,data/test/clock3/audio/0157.wav,128.938795,28.500000,100.438795,77.000000,105.500000,23.438795,1.409593
data/test/clock3,0158,data/test/clock3/audio/0158.wav,129.999947,30.500000,99.499947,77.000000,107.500000,22.499947,1.401549
data/test/clock3,0159,data/test/clock3/audio/0159.wav,131.314840,35.000000,96.314840,77.000000,112.000000,19.314840,1.397071
data/test/clock3,0160,data/test/clock3/audio/0160.wav,132.988523,37.000000,95.988523,77.000000,114.000000,18.988523,1.389473
data/test/clock3,0161,data/test/clock3/audio/0161.wav,134.599656,40.000000,94.599656,77.000000,117.000000,17.599656,1.381315
data/test/clock3,0162,data/test/clock3/audio/0162.wav,136.097817,41.500000,94.597817,77.000000,118.500000,17.597817,1.377917
data/test/clock3,0163,data/test/clock3/audio/0163.wav,137.642778,46.000000,91.642778,77.000000,123.000000,14.642778,1.373068
data/test/clock3,0164,data/test/clock3/audio/0164.wav,139.368658,46.500000,92.868658,77.000000,123.500000,15.868658,1.362526
data/test/clock3,0165,data/test/clock3/audio/0165.wav,141.445008,50.000000,91.445008,77.000000,127.000000,14.445008,1.353587
data/test/clock3,0166,data/test/clock3/audio/0166.wav,143.192771,55.500000,87.692771,77.000000,132.500000,10.692771,1.346661
data/test/clock3,0167,data/test/clock3/audio/0167.wav,145.067262,55.500000,89.567262,77.000000,132.500000,12.567262,1.340233
data/test/clock3,0168,data/test/clock3/audio/0168.wav,146.177714,56.500000,89.677714,77.000000,133.500000,12.677714,1.324975
data/test/clock3,0169,data/test/clock3/audio/0169.wav,146.924186,56.500000,90.424186,77.000000,133.500000,13.424186,1.308236
data/test/clock3,0170,data/test/clock3/audio/0170.wav,147.702513,58.500000,89.202513,77.000000,135.500000,12.202513,1.290637
data/test/clock3,0171,data/test/clock3/audio/0171.wav,148.411364,59.000000,89.411364,77.000000,136.000000,12.411364,1.266631
data/test/clock3,0172,data/test/clock3/audio/0172.wav,147.832232,57.000000,90.832232,77.000000,134.000000,13.832232,1.232199
data/test/clock3,0173,data/test/clock3/audio/0173.wav,145.673100,54.500000,91.173100,77.000000,131.500000,14.173100,1.186978
data/test/clock3,0174,data/test/clock3/audio/0174.wav,142.093329,52.000000,90.093329,77.000000,129.000000,13.093329,1.134424
data/test/clock3,0175,data/test/clock3/audio/0175.wav,137.395252,52.000000,85.395252,77.000000,129.000000,8.395252,1.088499
data/test/clock3,0176,data/test/clock3/audio/0176.wav,132.638053,49.500000,83.138053,77.000000,126.500000,6.138053,1.040713
data/test/clock3,0177,data/test/clock3/audio/0177.wav,128.839702,44.000000,84.839702,77.000000,121.000000,7.839702,1.006608
data/test/clock3,0178,data/test/clock3/audio/0178.wav,126.569716,42.500000,84.069716,77.000000,119.500000,7.069716,0.987807
data/test/clock3,0179,data/test/clock3/audio/0179.wav,125.064343,37.500000,87.564343,77.000000,114.500000,10.564343,0.971014
data/test/clock3,0180,data/test/clock3/audio/0180.wav,124.068774,36.000000,88.068774,77.000000,113.000000,11.068774,0.961175
data/test/clock3,0181,data/test/clock3/audio/0181.wav,123.417584,31.500000,91.917584,77.000000,108.500000,14.917584,0.957102
data/test/clock3,0182,data/test/clock3/audio/0182.wav,121.636161,28.000000,93.636161,77.000000,105.000000,16.636161,0.945184
data/test/clock3,0183,data/test/clock3/audio/0183.wav,119.473997,28.000000,91.473997,77.000000,105.000000,14.473997,0.930668
data/test/clock3,0184,data/test/clock3/audio/0184.wav,116.146001,24.000000,92.146001,77.000000,101.000000,15.146001,0.913986
data/test/clock3,0185,data/test/clock3/audio/0185.wav,112.658424,19.500000,93.158424,77.000000,96.500000,16.158424,0.897843
data/test/clock3,0186,data/test/clock3/audio/0186.wav,108.820486,14.500000,94.320486,77.000000,91.500000,17.320486,0.877188
data/test/clock3,0187,data/test/clock3/audio/0187.wav,104.201865,12.000000,92.201865,77.000000,89.000000,15.201865,0.863370
data/test/clock3,0188,data/test/clock3/audio/0188.wav,99.137539,8.500000,90.637539,77.000000,85.500000,13.637539,0.841311
data/test/clock3,0189,data/test/clock3/audio/0189.wav,93.935236,8.500000,85.435236,77.000000,85.500000,8.435236,0.820355
data/test/clock3,0190,data/test/clock3/audio/0190.wav,88.474104,7.500000,80.974104,77.000000,84.500000,3.974104,0.804075
data/test/clock3,0191,data/test/clock3/audio/0191.wav,83.278550,7.500000,75.778550,77.000000,84.500000,1.221450,0.792100
data/test/clock3,0192,data/test/clock3/audio/0192.wav,78.731980,7.500000,71.231980,77.000000,84.500000,5.768020,0.785336
data/test/clock3,0193,data/test/clock3/audio/0193.wav,76.667705,7.500000,69.167705,77.000000,84.500000,7.832295,0.787818
data/test/clock3,0194,data/test/clock3/audio/0194.wav,76.628077,7.500000,69.128077,77.000000,84.500000,7.871923,0.794605
data/test/clock3,0195,data/test/clock3/audio/0195.wav,77.127288,7.500000,69.627288,77.000000,84.500000,7.372712,0.803334
data/test/clock3,0196,data/test/clock3/audio/0196.wav,77.954855,8.500000,69.454855,77.000000,85.500000,7.545145,0.809819
data/test/clock3,0197,data/test/clock3/audio/0197.wav,79.254175,8.500000,70.754175,77.000000,85.500000,6.245825,0.816315
data/test/clock3,0198,data/test/clock3/audio/0198.wav,80.221330,9.500000,70.721330,77.000000,86.500000,6.278670,0.829433
data/test/clock3,0199,data/test/clock3/audio/0199.wav,81.302774,11.500000,69.802774,77.000000,88.500000,7.197226,0.837388
data/test/clock3,0200,data/test/clock3/audio/0200.wav,82.426614,13.000000,69.426614,77.000000,90.000000,7.573386,0.851865
data/test/clock3,0201,data/test/clock3/audio/0201.wav,83.194682,15.000000,68.194682,77.000000,92.000000,8.805318,0.872923
data/test/clock3,0202,data/test/clock3/audio/0202.wav,83.985235,16.500000,67.485235,77.000000,93.500000,9.514765,0.892783
data/test/clock3,0203,data/test/clock3/audio/0203.wav,85.480890,16.500000,68.980890,77.000000,93.500000,8.019110,0.911417
data/test/clock3,0204,data/test/clock3/audio/0204.wav,86.606833,19.000000,67.606833,77.000000,96.000000,9.393167,0.929062
data/test/clock3,0205,data/test/clock3/audio/0205.wav,87.504668,18.000000,69.504668,77.000000,95.000000,7.495332,0.943621
data/test/clock3,0206,data/test/clock3/audio/0206.wav,88.042095,13.000000,75.042095,77.000000,90.000000,1.957905,0.944381
data/test/clock3,0207,data/test/clock3/audio/0207.wav,87.700947,13.500000,74.200947,77.000000,90.500000,2.799053,0.938880
data/test/clock3,0208,data/test/clock3/audio/0208.wav,85.463801,13.500000,71.963801,77.000000,90.500000,5.036199,0.936834
data/test/clock3,0209,data/test/clock3/audio/0209.wav,81.870588,11.000000,70.870588,77.000000,88.000000,6.129412,0.935988
data/test/clock3,0210,data/test/clock3/audio/0210.wav,76.108777,11.500000,64.608777,77.000000,88.500000,12.391223,0.934596
data/test/clock3,0211,data/test/clock3/audio/0211.wav,68.954626,7.500000,61.454626,77.000000,84.500000,15.545374,0.937926
data/test/clock3,0212,data/test/clock3/audio/0212.wav,61.344401,7.500000,53.844401,77.000000,84.500000,23.155599,0.945959
data/test/clock3,0213,data/test/clock3/audio/0213.wav,53.225673,4.500000,48.725673,77.000000,81.500000,28.274327,0.969016
data/test/clock3,0214,data/test/clock3/audio/0214.wav,45.104066,4.500000,40.604066,77.000000,81.500000,36.395934,0.996349
data/test/clock3,0215,data/test/clock3/audio/0215.wav,37.642457,3.000000,34.642457,77.000000,80.000000,42.357543,1.031634
data/test/clock3,0216,data/test/clock3/audio/0216.wav,32.016802,0.000000,32.016802,77.000000,77.000000,44.983198,1.058250
data/test/clock3,0217,data/test/clock3/audio/0217.wav,27.529274,-2.000000,29.529274,77.000000,75.000000,47.470726,1.088935
data/test/clock3,0218,data/test/clock3/audio/0218.wav,24.697838,-3.000000,27.697838,77.000000,74.000000,49.302162,1.104568
data/test/clock3,0219,data/test/clock3/audio/0219.wav,22.714388,-5.500000,28.214388,77.000000,71.500000,48.785612,1.119546
data/test/clock3,0220,data/test/clock3/audio/0220.wav,21.106545,-7.500000,28.606545,77.000000,69.500000,48.393455,1.130042
data/test/clock3,0221,data/test/clock3/audio/0221.wav,19.404837,-6.500000,25.904837,77.000000,70.500000,51.095163,1.144795
data/test/clock3,0222,data/test/clock3/audio/0222.wav,17.085979,-8.500000,25.585979,77.000000,68.500000,51.414021,1.161088
data/test/clock3,0223,data/test/clock3/audio/0223.wav,16.476699,-9.500000,25.976699,77.000000,67.500000,51.023301,1.192763
data/test/clock3,0224,data/test/clock3/audio/0224.wav,15.584035,-9.500000,25.084035,77.000000,67.500000,51.915965,1.239697
data/test/clock3,0225,data/test/clock3/audio/0225.wav,15.216977,-12.000000,27.216977,77.000000,65.000000,49.783023,1.303452
